Chromosome	FS	StartPos	EndPos	Frequency	REF
chr1	FRA1A	1	28000000	common	hg19
chr1	FRA1B	50700001	61300000	common	hg19
chr1	FRA1L	61300001	84900000	common	hg19
chr1	FRA1C	68900001	69700000	common	hg19
chr1	FRA1D	84900001	94700000	common	hg19
chr1	FRA1M	94700001	99700000	rare	hg19
chr1	FRA1E	99700001	102200000	common	hg19
chr1	FRA1J	128900001	142600000	common	hg19
chr1	FRA1F	142600001	155000000	common	hg19
chr1	FRA1G	172900001	176000000	common	hg19
chr1	FRA1K	185800001	198700000	common	hg19
chr1	FRA1H	224100001	236600000	common	hg19
chr1	FRA1I	243700001	249250621	common	hg19
chr2	FRA2C	16700001	19200000	common	hg19
chr2	FRA2S	44100001	154900000	common	hg19
chr2	FRA2E	68600001	75000000	common	hg19
chr2	FRA2L	83300001	90500000	rare	hg19
chr2	FRA2A	96800001	102700000	rare	hg19
chr2	FRA2B	110200001	114400000	rare	hg19
chr2	FRA2F	135100001	136800000	common	hg19
chr2	FRA2K	144100001	148700000	rare	hg19
chr2	FRA2G	169700001	183000000	common	hg19
chr2	FRA2I	197400001	209000000	common	hg19
chr2	FRA2J	237300001	243199373	common	hg19
chr3	FRA3A	23900001	26400000	common	hg19
chr3	FRA3B	58600001	63700000	common	hg19
chr3	FRA3D	148900001	160700000	common	hg19
chr3	FRA3C	182700001	187900000	common	hg19
chr4	FRA4A	6000001	11300000	common	hg19
chr4	FRA4D	11300001	35800000	common	hg19
chr4	FRA4B	52700001	59500000	common	hg19
chr4	FRA4E	88000001	98800000	common	hg19
chr4	FRA4C	139500001	141500000	common	hg19
chr5	FRA5E	18400001	28900000	common	hg19
chr5	FRA5A	28900001	42500000	common	hg19
chr5	FRA5B/D	92300001	98200000	common	hg19
chr5	FRA5F	98200001	109600000	common	hg19
chr5	FRA5C	130600001	136200000	common	hg19
chr5	FRA5G	168500001	180915260	rare	hg19
chr6	FRA6B	4200001	7100000	common	hg19
chr6	FRA6A	13400001	15200000	rare	hg19
chr6	FRA6C	25200001	27000000	common	hg19
chr6	FRA6H	30400001	46200000	common	hg19
chr6	FRA6D	70000001	75900000	common	hg19
chr6	FRA6G	88000001	93100000	common	hg19
chr6	FRA6F	105500001	114600000	common	hg19
chr6	FRA6E	161000001	164500000	common	hg19
chr7	FRA7B	1	7300000	common	hg19
chr7	FRA7C	35000001	37200000	common	hg19
chr7	FRA7D	43300001	45400000	common	hg19
chr7	FRA7A	54000001	58000000	rare	hg19
chr7	FRA7J	59900001	77500000	common	hg19
chr7	FRA7E	91100001	92800000	common	hg19
chr7	FRA7F	98000001	107400000	common	hg19
chr7	FRA7K	107400001	114600000	common	hg19
chr7	FRA7G	114600001	117400000	common	hg19
chr7	FRA7H	130400001	132600000	common	hg19
chr7	FRA7I	147900001	159138663	common	hg19
chr8	FRA8B	93300001	99000000	common	hg19
chr8	FRA8A	101600001	106200000	rare	hg19
chr8	FRA8C/E	117700001	127300000	common/rare	hg19
chr8	FRA8D	139900001	146364022	common	hg19
chr9	FRA9G	16600001	18500000	common	hg19
chr9	FRA9C	19900001	33200000	common	hg19
chr9	FRA9F	50700001	65900000	common	hg19
chr9	FRA9D	90400001	91800000	common	hg19
chr9	FRA9B/E	114900001	117700000	rare/common	hg19
chr10	FRA10G	42300001	52900000	common	hg19
chr10	FRA10C	52900001	70600000	common	hg19
chr10	FRA10D	74900000	1070600001	common	hg19
chr10	FRA10A/AC!	97000000	1089500001	rare/rare	hg19
